Ticker,Name,Sector,Industry
A,Agilent Technologies Inc.,Industrial Goods,Precision Products
AA,Alcoa Corp.,Basic Materials/Resources,Aluminum
AAL,American Airlines Group Inc.,Transportation/Logistics,Passenger Airlines
AAP,Advance Auto Parts Inc.,Retail/Wholesale,Specialty Retail
AAPL,Apple Inc.,Technology,Computers/Consumer Electronics
ABBV,AbbVie Inc.,Health Care/Life Sciences,Biotechnology
ABC,AmerisourceBergen Corp.,Retail/Wholesale,Drug Retail
ABMD,Abiomed Inc.,Health Care/Life Sciences,Medical Equipment/Supplies
ABT,Abbott Laboratories,Health Care/Life Sciences,Pharmaceuticals
ACC,American Campus Communities Inc.,Real Estate/Construction,Residential REITs
ACGL,Arch Capital Group Ltd.,Financial Services,Non-Life Insurance
ACHC,Acadia Healthcare Co. Inc.,Health Care/Life Sciences,Healthcare Provision
ACM,AECOM,Real Estate/Construction,Construction
ACN,Accenture PLC Cl A,Business/Consumer Services,Diversified Business Services
ADBE,Adobe Inc.,Technology,Software
ADI,Analog Devices Inc.,Technology,Semiconductors
ADM,Archer Daniels Midland Co.,Consumer Goods,Food Products
ADP,Automatic Data Processing Inc.,Business/Consumer Services,Diversified Business Services
ADPT,Adaptive Biotechnologies Corp.,Health Care/Life Sciences,Biotechnology
ADS,Alliance Data Systems Corp.,Business/Consumer Services,Advertising/Marketing/Public Relations
ADSK,Autodesk Inc.,Technology,Software
ADT,ADT Inc.,Business/Consumer Services,General Services
AEE,Ameren Corp.,Companies on the Energy Service,Electric Utilities
AEP,American Electric Power Co. Inc.,Companies on the Energy Service,Electric Utilities
AES,AES Corp.,Companies on the Energy Service,Electric Utilities
AFG,American Financial Group Inc.,Financial Services,Life Insurance
AFL,AFLAC Inc.,Financial Services,Life Insurance
AGCO,AGCO Corp.,Industrial Goods,Mobile Machinery
AGIO,Agios Pharmaceuticals Inc.,Health Care/Life Sciences,Biotechnology
AGN,Allergan PLC,Health Care/Life Sciences,Pharmaceuticals
AGNC,AGNC Investment Corp.,Real Estate/Construction,Mortgage REITs
AGO,Assured Guaranty Ltd.,Financial Services,Non-Life Insurance
AGR,Avangrid Inc.,Companies on the Energy Service,Electric Utilities
AIG,American International Group Inc.,Financial Services,Full-Line Insurance
AIV,Apartment Investment & Management Co.,Real Estate/Construction,Residential REITs
AIZ,Assurant Inc.,Financial Services,Non-Life Insurance
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokering
AKAM,Akamai Technologies Inc.,Technology,Internet/Online
AL,Air Lease Corp.,Business/Consumer Services,General Services
ALB,Albemarle Corp.,Basic Materials/Resources,Chemicals
ALGN,Align Technology Inc.,Health Care/Life Sciences,Medical Equipment/Supplies
ALK,Alaska Air Group Inc.,Transportation/Logistics,Passenger Airlines
ALKS,Alkermes PLC,Health Care/Life Sciences,Biotechnology
ALL,Allstate Corp.,Financial Services,Non-Life Insurance
ALLE,Allegion PLC,Business/Consumer Services,General Services
ALLY,Ally Financial Inc.,Financial Services,Banking
ALNY,Alnylam Pharmaceuticals Inc.,Health Care/Life Sciences,Biotechnology
ALSN,Allison Transmission Holdings Inc.,Automotive,Motor Vehicle Parts
ALXN,Alexion Pharmaceuticals Inc.,Health Care/Life Sciences,Biotechnology
AM,Antero Midstream Corp.,Companies on the Energy Service,Pipeline Transportation
AMAT,Applied Materials Inc.,Technology,Semiconductors
AMCX,AMC Networks Inc. Cl A,Media/Entertainment,Broadcasting
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors
AME,Ametek Inc.,Industrial Goods,Precision Products
AMG,Affiliated Managers Group Inc.,Financial Services,Investment Advisors
AMGN,Amgen Inc.,Health Care/Life Sciences,Biotechnology
AMH,American Homes 4 Rent Cl A,Real Estate/Construction,Residential REITs
AMP,Ameriprise Financial Inc.,Financial Services,Investment Advisors
AMT,American Tower REIT,Real Estate/Construction,Specialty REITs
AMTD,TD Ameritrade Holding Corp.,Financial Services,Securities
AMZN,Amazon.com Inc.,Retail/Wholesale,Mixed Retailing
AN,AutoNation Inc.,Retail/Wholesale,Specialty Retail
ANAT,American National Insurance Co.,Financial Services,Full-Line Insurance
ANET,Arista Networks Inc.,Technology,Internet/Online
ANSS,Ansys Inc.,Technology,Software
ANTM,Anthem Inc.,Financial Services,Life Insurance
AON,Aon PLC,Financial Services,Finance Companies
AOS,A.O. Smith Corp.,Real Estate/Construction,Building Materials/Products
APA,Apache Corp.,Companies on the Energy Service,Oil Extraction
APD,Air Products & Chemicals Inc.,Basic Materials/Resources,Chemicals
APH,Amphenol Corp. Cl A,Industrial Goods,Industrial Electronics
APLE,Apple Hospitality REIT Inc.,Real Estate/Construction,Hotel/Lodging REITs
APTV,Aptiv PLC,Automotive,Motor Vehicle Parts
APY,Apergy Corp.,Companies on the Energy Service,Oil & Gas Products/Services
AR,Antero Resources Corp.,Companies on the Energy Service,Oil Extraction
ARD,Ardagh Group S.A. Cl A,N/A,N/A
ARE,Alexandria Real Estate Equities Inc.,Real Estate/Construction,Industrial/Office REITs
ARMK,Aramark,Leisure/Arts/Hospitality,Restaurants
ARNC,Arconic Inc.,Industrial Goods,Industrial Products
ARW,Arrow Electronics Inc.,Industrial Goods,Industrial Electronics
ASB,Associated Banc-Corp.,Financial Services,Banking
ASH,Ashland Global Holdings Inc.,Basic Materials/Resources,Chemicals
ATH,Athene Holding Ltd.,Financial Services,Life Insurance
ATO,Atmos Energy Corp.,Companies on the Energy Service,Gas Utilities
ATR,Aptargroup Inc.,Industrial Goods,Containers/Packaging
ATUS,Altice USA Inc. Cl A,Media/Entertainment,Broadcasting
ATVI,Activision Blizzard Inc.,Consumer Goods,Toys & Games
AVB,Avalonbay Communities Inc.,Real Estate/Construction,Residential REITs
AVGO,Broadcom Inc.,Technology,Semiconductors
AVLR,Avalara Inc.,Technology,Internet/Online
AVT,Avnet Inc.,Industrial Goods,Industrial Electronics
AVTR,Avantor Inc.,Basic Materials/Resources,Chemicals
AVY,Avery Dennison Corp.,Basic Materials/Resources,Chemicals
AWI,Armstrong World Industries Inc.,Real Estate/Construction,Building Materials/Products
AWK,American Water Works Co.,Companies on the Energy Service,Water Utilities
AXP,American Express Co.,Financial Services,Consumer Finance
AXS,AXIS Capital Holdings Ltd.,Financial Services,Non-Life Insurance
AXTA,Axalta Coating Systems Ltd.,Real Estate/Construction,Building Materials/Products
AYI,Acuity Brands Inc.,Industrial Goods,Industrial Electronics
AYX,Alteryx Inc. Cl A,Technology,Software
AZO,AutoZone Inc.,Retail/Wholesale,Specialty Retail
AZPN,Aspen Technology Inc.,Technology,Software
BA,Boeing Co.,Industrial Goods,Aerospace Products/Parts
BAC,Bank of America Corp.,Financial Services,Major International Banks
BAH,Booz Allen Hamilton Holding Corp.,Business/Consumer Services,Diversified Business Services
BAX,Baxter International Inc.,Health Care/Life Sciences,Medical Equipment/Supplies
BBY,Best Buy Co. Inc.,Retail/Wholesale,Home Goods Retail
BC,Brunswick Corp.,Consumer Goods,Sports Goods
BDN,Brandywine Realty Trust,Real Estate/Construction,Industrial/Office REITs
BDX,Becton Dickinson & Co.,Health Care/Life Sciences,Medical Equipment/Supplies
BEN,Franklin Resources Inc.,Financial Services,Investment Advisors
BERY,Berry Global Group Inc.,Industrial Goods,Containers/Packaging
BF.A,Brown-Forman Corp. Cl A,Consumer Goods,Alcoholic Beverages/Drinks
BFAM,Bright Horizons Family Solutions Inc.,Business/Consumer Services,Consumer Services
BF.B,Brown-Forman Corp. Cl B,Consumer Goods,Alcoholic Beverages/Drinks
BG,Bunge Ltd.,Agriculture,Farming
BGCP,BGC Partners Inc. Cl A,Financial Services,Securities
BHF,Brighthouse Financial Inc.,Financial Services,Life Insurance
BIIB,Biogen Inc.,Health Care/Life Sciences,Biotechnology
BIO,Bio-Rad Laboratories Inc. Cl A,Health Care/Life Sciences,Medical Equipment/Supplies
BK,Bank of New York Mellon Corp.,Financial Services,Investment Advisors
BKI,Black Knight Inc.,Technology,Software
BKNG,Booking Holdings Inc.,Leisure/Arts/Hospitality,Tourism
BKR,Baker Hughes Co.,Companies on the Energy Service,Oil & Gas Products/Services
BKU,BankUnited Inc.,Financial Services,Banking
BLK,BlackRock Inc.,Financial Services,Investment Advisors
BLL,Ball Corp.,Industrial Goods,Containers/Packaging
BLUE,bluebird bio Inc.,Health Care/Life Sciences,Biotechnology
BMRN,BioMarin Pharmaceutical Inc.,Health Care/Life Sciences,Biotechnology
BMY,Bristol-Myers Squibb Co.,Health Care/Life Sciences,Pharmaceuticals
BOH,Bank of Hawaii Corp.,Financial Services,Banking
BOKF,BOK Financial Corp.,Financial Services,Banking
BPOP,Popular Inc.,Financial Services,Banking
BPR,Brookfield Property REIT Inc.,N/A,N/A
BR,Broadridge Financial Solutions Inc.,Business/Consumer Services,Computer Services
BRK.B,Berkshire Hathaway Inc. Cl B,Business/Consumer Services,Diversified Holding Companies
BRKR,Bruker Corp.,Health Care/Life Sciences,Medical Equipment/Supplies
BRO,Brown & Brown Inc.,Financial Services,Insurance Brokering
BRX,Brixmor Property Group Inc.,Real Estate/Construction,Retail REITs
BSX,Boston Scientific Corp.,Health Care/Life Sciences,Medical Equipment/Supplies
BURL,Burlington Stores Inc.,Retail/Wholesale,Clothing Retail
BWA,BorgWarner Inc.,Automotive,Motor Vehicle Parts
BWXT,BWX Technologies Inc.,Industrial Goods,Industrial Machinery
BXP,Boston Properties Inc.,Real Estate/Construction,Industrial/Office REITs
BYND,Beyond Meat Inc.,Consumer Goods,Food Products
C,Citigroup Inc.,Financial Services,Major International Banks
CABO,Cable One Inc.,Media/Entertainment,Broadcasting
CACC,Credit Acceptance Corp.,Financial Services,Consumer Finance
CACI,CACI International Inc. Cl A,Business/Consumer Services,Computer Services
CAG,Conagra Brands Inc.,Consumer Goods,Food Products
CAH,Cardinal Health Inc.,Retail/Wholesale,Drug Retail
CASY,Casey's General Stores Inc.,Retail/Wholesale,Mixed Retailing
CAT,Caterpillar Inc.,Industrial Goods,Mobile Machinery
CB,Chubb Ltd.,Financial Services,Full-Line Insurance
CBOE,Cboe Global Markets Inc.,Financial Services,Securities
CBRE,CBRE Group Inc. Cl A,Real Estate/Construction,Real Estate Developers
CBSH,Commerce Bancshares Inc.,Financial Services,Banking
CBT,Cabot Corp.,Basic Materials/Resources,Chemicals
CC,Chemours Co.,Basic Materials/Resources,Chemicals
CCI,Crown Castle International Corp.,Real Estate/Construction,Specialty REITs
CCK,Crown Holdings Inc.,Industrial Goods,Containers/Packaging
CCL,Carnival Corp.,Leisure/Arts/Hospitality,Tourism
CDAY,Ceridian HCM Holding Inc.,Technology,Software
CDEV,Centennial Resource Development Inc.,Companies on the Energy Service,Oil Extraction
CDK,CDK Global Inc.,Business/Consumer Services,Advertising/Marketing/Public Relations
CDNS,Cadence Design Systems Inc.,Technology,Software
CDW,CDW Corp.,Business/Consumer Services,Computer Services
CE,Celanese Corp.,Basic Materials/Resources,Chemicals
CERN,Cerner Corp.,Technology,Software
CF,CF Industries Holdings Inc.,Basic Materials/Resources,Chemicals
CFG,Citizens Financial Group Inc.,Financial Services,Banking
CFR,Cullen/Frost Bankers Inc.,Financial Services,Banking
CFX,Colfax Corp.,Industrial Goods,Industrial Machinery
CGNX,Cognex Corp.,Industrial Goods,Precision Products
CHD,Church & Dwight Co.,Consumer Goods,Nondurable Household Products
CHE,Chemed Corp.,Health Care/Life Sciences,Healthcare Provision
CHH,Choice Hotels International Inc.,Leisure/Arts/Hospitality,Hotels
CHK,Chesapeake Energy Corp.,Companies on the Energy Service,Oil Extraction
CHNG,Change Healthcare Inc.,N/A,N/A
CHRW,C.H. Robinson Worldwide Inc.,Transportation/Logistics,Transportation Services
CHTR,Charter Communications Inc. Cl A,Media/Entertainment,Broadcasting
CI,Cigna Corp.,Financial Services,Life Insurance
CIEN,Ciena Corp.,Technology,Networking
CIM,Chimera Investment Corp.,Real Estate/Construction,Mortgage REITs
CINF,Cincinnati Financial Corp.,Financial Services,Non-Life Insurance
CIT,CIT Group Inc.,Financial Services,Banking
CL,Colgate-Palmolive Co.,Consumer Goods,Personal Care Products/Appliances
CLGX,CoreLogic Inc.,Technology,Software
CLH,Clean Harbors Inc.,Business/Consumer Services,Environment/Waste Management
CLNY,Colony Capital Inc.,Financial Services,Investment Advisors
CLR,Continental Resources Inc.,Companies on the Energy Service,Oil Extraction
CLX,Clorox Co.,Consumer Goods,Nondurable Household Products
CMA,Comerica Inc.,Financial Services,Banking
CMCSA,Comcast Corp. Cl A,Media/Entertainment,Broadcasting
CMD,Cantel Medical Corp.,Health Care/Life Sciences,Medical Equipment/Supplies
CME,CME Group Inc. Cl A,Financial Services,Securities
CMG,Chipotle Mexican Grill Inc.,Leisure/Arts/Hospitality,Restaurants
CMI,Cummins Inc.,Automotive,Motor Vehicle Parts
CMS,CMS Energy Corp.,Companies on the Energy Service,Electric Utilities
CNA,CNA Financial Corp.,Financial Services,Full-Line Insurance
CNC,Centene Corp.,Health Care/Life Sciences,Healthcare Provision
CNK,Cinemark Holdings Inc.,Leisure/Arts/Hospitality,Recreational Services
CNP,CenterPoint Energy Inc.,Companies on the Energy Service,Multiutilities
COF,Capital One Financial Corp.,Financial Services,Consumer Finance
COG,Cabot Oil & Gas Corp.,Companies on the Energy Service,Oil Extraction
COHR,Coherent Inc.,Industrial Goods,Precision Products
COLD,Americold Realty Trust,Real Estate/Construction,Specialty REITs
COLM,Columbia Sportswear Co.,Consumer Goods,Clothing
COMM,CommScope Holding Co. Inc.,Technology,Networking
CONE,CyrusOne Inc.,Business/Consumer Services,Computer Services
COO,Cooper Cos.,Health Care/Life Sciences,Medical Equipment/Supplies
COP,ConocoPhillips,Companies on the Energy Service,Major Oil & Gas
COR,CoreSite Realty Corp.,Real Estate/Construction,Industrial/Office REITs
COST,Costco Wholesale Corp.,Retail/Wholesale,Mixed Retailing
COTY,Coty Inc. Cl A,Consumer Goods,Personal Care Products/Appliances
COUP,Coupa Software Inc.,Technology,Software
CPA,Copa Holdings S.A. Cl A,Transportation/Logistics,Passenger Airlines
CPB,Campbell Soup Co.,Consumer Goods,Food Products
CPRI,Capri Holdings Ltd.,Consumer Goods,Clothing
CPRT,Copart Inc.,Retail/Wholesale,Mixed Retailing
CPT,Camden Property Trust,Real Estate/Construction,Residential REITs
CR,Crane Co.,Industrial Goods,Precision Products
CREE,Cree Inc.,Technology,Semiconductors
CRI,Carter's Inc.,Consumer Goods,Clothing
CRL,Charles River Laboratories International Inc.,Health Care/Life Sciences,Biotechnology
CRM,Salesforce.com Inc.,Technology,Software
CRNC,Cerence Inc.,Technology,Emerging Technologies
CSCO,Cisco Systems Inc.,Technology,Networking
CSGP,CoStar Group Inc.,Business/Consumer Services,Diversified Business Services
CSL,Carlisle Cos.,Real Estate/Construction,Building Materials/Products
CSX,CSX Corp.,Transportation/Logistics,Railroads
CTAS,Cintas Corp.,Business/Consumer Services,General Services
CTL,CenturyLink Inc.,Telecommunication Services,Wired Telecommunications Services
CTLT,Catalent Inc.,Health Care/Life Sciences,Pharmaceuticals
CTSH,Cognizant Technology Solutions Corp.,Technology,Software
CTVA,Corteva Inc.,Basic Materials/Resources,Chemicals
CTXS,Citrix Systems Inc.,Technology,Software
CUBE,CubeSmart,Real Estate/Construction,Specialty REITs
CUZ,Cousins Properties Inc.,Real Estate/Construction,Industrial/Office REITs
CVET,Covetrus Inc.,Business/Consumer Services,Diversified Business Services
CVNA,Carvana Co. Cl A,Retail/Wholesale,Specialty Retail
CVS,CVS Health Corp.,Retail/Wholesale,Drug Retail
CVX,Chevron Corp.,Companies on the Energy Service,Major Oil & Gas
CW,Curtiss-Wright Corp.,Industrial Goods,Industrial Products
CXO,Concho Resources Inc.,Companies on the Energy Service,Oil Extraction
CXP,Columbia Property Trust Inc.,Real Estate/Construction,Industrial/Office REITs
CY,Cypress Semiconductor Corp.,Technology,Semiconductors
CZR,Caesars Entertainment Corp.,Leisure/Arts/Hospitality,Gambling Industries
D,Dominion Energy Inc.,Companies on the Energy Service,Electric Utilities
DAL,Delta Air Lines Inc.,Transportation/Logistics,Passenger Airlines
DBX,Dropbox Inc.,Technology,Internet/Online
DCI,Donaldson Co. Inc.,Industrial Goods,Industrial Machinery
DD,DuPont de Nemours Inc.,Basic Materials/Resources,Chemicals
DE,Deere & Co.,Industrial Goods,Mobile Machinery
DEI,Douglas Emmett Inc.,Real Estate/Construction,Industrial/Office REITs
DELL,Dell Technologies Inc. Cl C,Technology,Software
DFS,Discover Financial Services,Financial Services,Consumer Finance
DG,Dollar General Corp.,Retail/Wholesale,Mixed Retailing
DGX,Quest Diagnostics Inc.,Health Care/Life Sciences,Healthcare Provision
DHI,D.R. Horton Inc.,Real Estate/Construction,Residential Building Construction
DHR,Danaher Corp.,Health Care/Life Sciences,Medical Equipment/Supplies
DIS,Walt Disney Co.,Media/Entertainment,Broadcasting
DISCA,Discovery Inc. Series A,Media/Entertainment,Broadcasting
DISCK,Discovery Inc. Series C,Media/Entertainment,Broadcasting
DISH,DISH Network Corp. Cl A,Media/Entertainment,Broadcasting
DKS,Dick's Sporting Goods Inc.,Retail/Wholesale,Specialty Retail
DLB,Dolby Laboratories Inc. Cl A,Media/Entertainment,Motion Picture/Sound Recording
DLR,Digital Realty Trust Inc.,Real Estate/Construction,Industrial/Office REITs
DLTR,Dollar Tree Inc.,Retail/Wholesale,Mixed Retailing
DNKN,Dunkin' Brands Group Inc.,Leisure/Arts/Hospitality,Restaurants
DOCU,DocuSign Inc.,Technology,Internet/Online
DOV,Dover Corp.,Industrial Goods,Industrial Machinery
DOW,Dow Inc.,Basic Materials/Resources,Chemicals
DOX,Amdocs Ltd.,Technology,Software
DPZ,Domino's Pizza Inc.,Leisure/Arts/Hospitality,Restaurants
DRE,Duke Realty Corp.,Real Estate/Construction,Industrial/Office REITs
DRI,Darden Restaurants Inc.,Leisure/Arts/Hospitality,Restaurants
DT,Dynatrace Inc.,Technology,Emerging Technologies
DTE,DTE Energy Co.,Companies on the Energy Service,Electric Utilities
DUK,Duke Energy Corp.,Companies on the Energy Service,Multiutilities
DVA,DaVita Inc.,Health Care/Life Sciences,Healthcare Provision
DVN,Devon Energy Corp.,Companies on the Energy Service,Oil Extraction
DXC,DXC Technology Co.,Business/Consumer Services,Computer Services
DXCM,DexCom Inc.,Health Care/Life Sciences,Medical Equipment/Supplies
EA,Electronic Arts Inc.,Consumer Goods,Toys & Games
EAF,GrafTech International Ltd.,Industrial Goods,Industrial Electronics
EBAY,eBay Inc.,Retail/Wholesale,Mixed Retailing
ECL,Ecolab Inc.,Business/Consumer Services,Environment/Waste Management
ED,Consolidated Edison Inc.,Companies on the Energy Service,Multiutilities
EEFT,Euronet Worldwide Inc.,Financial Services,Consumer Finance
EFX,Equifax Inc.,Financial Services,Finance Companies
EHC,Encompass Health Corp.,Health Care/Life Sciences,Healthcare Provision
EIX,Edison International,Companies on the Energy Service,Electric Utilities
EL,Estee Lauder Cos. Cl A,Consumer Goods,Personal Care Products/Appliances
ELAN,Elanco Animal Health Inc.,Consumer Goods,Food Products
ELS,Equity Lifestyle Properties Inc.,Real Estate/Construction,Residential REITs
EMN,Eastman Chemical Co.,Basic Materials/Resources,Chemicals
EMR,Emerson Electric Co.,Industrial Goods,Precision Products
ENR,Energizer Holdings Inc.,Industrial Goods,Industrial Electronics
ENTG,Entegris Inc.,Technology,Semiconductors
EOG,EOG Resources Inc.,Companies on the Energy Service,Oil Extraction
EPAM,EPAM Systems Inc.,Technology,Software
EPR,EPR Properties,Real Estate/Construction,Specialty REITs
EQC,Equity Commonwealth,Real Estate/Construction,Industrial/Office REITs
EQH,Equitable Holdings Inc.,Financial Services,Life Insurance
EQIX,Equinix Inc.,Technology,Internet/Online
EQR,Equity Residential,Real Estate/Construction,Residential REITs
EQT,EQT Corp.,Companies on the Energy Service,Oil Extraction
ERIE,Erie Indemnity Co. Cl A,Financial Services,Non-Life Insurance
ES,Eversource Energy,Companies on the Energy Service,Electric Utilities
ESI,Element Solutions Inc.,Basic Materials/Resources,Chemicals
ESRT,Empire State Realty Trust Inc. Cl A,Real Estate/Construction,Industrial/Office REITs
ESS,Essex Property Trust Inc.,Real Estate/Construction,Residential REITs
ESTC,Elastic N.V.,Technology,Software
ETFC,E*TRADE Financial Corp.,Financial Services,Securities
ETN,Eaton Corp. PLC,Industrial Goods,Industrial Electronics
ETR,Entergy Corp.,Companies on the Energy Service,Electric Utilities
ETRN,Equitrans Midstream Corp.,Companies on the Energy Service,Pipeline Transportation
ETSY,Etsy Inc.,Retail/Wholesale,Mixed Retailing
EV,Eaton Vance Corp.,Financial Services,Investment Advisors
EVR,Evercore Inc. Cl A,Financial Services,Investment Advisors
EVRG,Evergy Inc.,N/A,N/A
EW,Edwards Lifesciences Corp.,Health Care/Life Sciences,Medical Equipment/Supplies
EWBC,East West Bancorp Inc.,Financial Services,Banking
EXAS,Exact Sciences Corp.,Health Care/Life Sciences,Biotechnology
EXC,Exelon Corp.,Companies on the Energy Service,Multiutilities
EXEL,Exelixis Inc.,Health Care/Life Sciences,Biotechnology
EXP,Eagle Materials Inc.,Real Estate/Construction,Building Materials/Products
EXPD,Expeditors International of Washington Inc.,Transportation/Logistics,Transportation Services
EXPE,Expedia Group Inc.,Leisure/Arts/Hospitality,Tourism
EXR,Extra Space Storage Inc.,Real Estate/Construction,Specialty REITs
F,Ford Motor Co.,Automotive,Automobiles
FAF,First American Financial Corp.,Financial Services,Non-Life Insurance
FANG,Diamondback Energy Inc.,Companies on the Energy Service,Oil Extraction
FAST,Fastenal Co.,Retail/Wholesale,Wholesalers
FB,Facebook Inc. Cl A,Technology,Internet/Online
FBHS,Fortune Brands Home & Security Inc.,Real Estate/Construction,Building Materials/Products
FCNCA,First Citizens Bancshares Inc. Cl A,Financial Services,Banking
FCX,Freeport-McMoRan Inc.,Basic Materials/Resources,Non-Ferrous Metals
FDS,FactSet Research Systems Inc.,Media/Entertainment,Publishing
FDX,FedEx Corp.,Transportation/Logistics,Air Freight
FE,FirstEnergy Corp.,Companies on the Energy Service,Electric Utilities
FEYE,FireEye Inc.,Technology,Software
FFIV,F5 Networks Inc.,Technology,Software
FHB,First Hawaiian Inc.,Financial Services,Banking
FHN,First Horizon National Corp.,Financial Services,Banking
FICO,Fair Isaac Corp.,Technology,Software
FIS,Fidelity National Information Services Inc.,Business/Consumer Services,Computer Services
FISV,Fiserv Inc.,Financial Services,Consumer Finance
FITB,Fifth Third Bancorp,Financial Services,Banking
FIVE,Five Below Inc.,Retail/Wholesale,Specialty Retail
FL,Foot Locker Inc.,Retail/Wholesale,Clothing Retail
FLIR,Flir Systems Inc.,Industrial Goods,Precision Products
FLO,Flowers Foods Inc.,Consumer Goods,Food Products
FLR,Fluor Corp.,Real Estate/Construction,Construction
FLS,Flowserve Corp.,Industrial Goods,Industrial Machinery
FLT,FleetCor Technologies Inc.,Financial Services,Consumer Finance
FMC,FMC Corp.,Basic Materials/Resources,Chemicals
FNB,F.N.B. Corp.,Financial Services,Banking
FND,Floor & Decor Holdings Inc. Cl A,N/A,N/A
FNF,Fidelity National Financial Inc.,Financial Services,Non-Life Insurance
FOX,Fox Corp. Cl B,Media/Entertainment,Broadcasting
FOXA,Fox Corp. Cl A,Media/Entertainment,Broadcasting
FRC,First Republic Bank,Financial Services,Investment Advisors
FRT,Federal Realty Investment Trust,Real Estate/Construction,Retail REITs
FSLR,First Solar Inc.,Industrial Goods,Industrial Electronics
FTDR,frontdoor inc.,Financial Services,Non-Life Insurance
FTNT,Fortinet Inc.,Technology,Software
FTV,Fortive Corp.,Industrial Goods,Precision Products
FWONA,Liberty Media Corp. Series A Liberty Formula One,Media/Entertainment,Broadcasting
FWONK,Liberty Media Corp. Series C Liberty Formula One,Media/Entertainment,Broadcasting
G,Genpact Ltd.,Technology,Emerging Technologies
GD,General Dynamics Corp.,Industrial Goods,Defense Equipment/Products
GDDY,GoDaddy Inc. Cl A,Technology,Internet/Online
GDI,Gardner Denver Holdings Inc.,Industrial Goods,Industrial Machinery
GE,General Electric Co.,Business/Consumer Services,Diversified Holding Companies
GGG,Graco Inc.,Industrial Goods,Industrial Machinery
GH,Guardant Health Inc.,Health Care/Life Sciences,Medical Equipment/Supplies
GHC,Graham Holdings Co.,Business/Consumer Services,Consumer Services
GILD,Gilead Sciences Inc.,Health Care/Life Sciences,Biotechnology
GIS,General Mills Inc.,Consumer Goods,Food Products
GL,Globe Life Inc.,Financial Services,Life Insurance
GLIBA,GCI Liberty Inc. Cl A,Telecommunication Services,Wireless Telecommunications Services
GLPI,Gaming & Leisure Properties Inc.,Real Estate/Construction,Specialty REITs
GLW,Corning Inc.,Industrial Goods,Industrial Products
GM,General Motors Co.,Automotive,Automobiles
GNTX,Gentex Corp.,Automotive,Motor Vehicle Parts
GO,Grocery Outlet Holding Corp.,N/A,N/A
GOOG,Alphabet Inc. Cl C,Technology,Internet/Online
GOOGL,Alphabet Inc. Cl A,Technology,Internet/Online
GPC,Genuine Parts Co.,Automotive,Motor Vehicle Parts
GPK,Graphic Packaging Holding Co.,Industrial Goods,Containers/Packaging
GPN,Global Payments Inc.,Financial Services,Consumer Finance
GPS,Gap Inc.,Retail/Wholesale,Clothing Retail
GRA,W.R. Grace & Co.,Basic Materials/Resources,Chemicals
GRMN,Garmin Ltd.,Technology,Networking
GRUB,GrubHub Inc.,Leisure/Arts/Hospitality,Restaurants
GS,Goldman Sachs Group Inc.,Financial Services,Securities
GT,Goodyear Tire & Rubber Co.,Automotive,Tires
GTES,Gates Industrial Corp. PLC,Industrial Goods,Industrial Products
GWRE,Guidewire Software Inc.,Technology,Software
GWW,W.W. Grainger Inc.,Retail/Wholesale,Wholesalers
H,Hyatt Hotels Corp.,Leisure/Arts/Hospitality,Hotels
HAIN,Hain Celestial Group Inc.,Consumer Goods,Food Products
HAL,Halliburton Co.,Companies on the Energy Service,Oil & Gas Products/Services
HAS,Hasbro Inc.,Consumer Goods,Toys & Games
HBAN,Huntington Bancshares Inc.,Financial Services,Banking
HBI,Hanesbrands Inc.,Consumer Goods,Clothing
HCA,HCA Healthcare Inc.,Health Care/Life Sciences,Healthcare Provision
HD,Home Depot Inc.,Retail/Wholesale,Home Goods Retail
HDS,HD Supply Holdings Inc.,Retail/Wholesale,Wholesalers
HE,Hawaiian Electric Industries Inc.,Companies on the Energy Service,Electric Utilities
HEI,Heico Corp.,Industrial Goods,Aerospace Products/Parts
HEI.A,Heico Corp. Cl A,Industrial Goods,Aerospace Products/Parts
HES,Hess Corp.,Companies on the Energy Service,Major Oil & Gas
HFC,HollyFrontier Corp.,Companies on the Energy Service,Oil & Gas Products/Services
HGV,Hilton Grand Vacations Inc.,Leisure/Arts/Hospitality,Hotels
HHC,Howard Hughes Corp.,Real Estate/Construction,Real Estate Developers
HIG,Hartford Financial Services Group Inc.,Financial Services,Non-Life Insurance
HII,Huntington Ingalls Industries Inc.,Industrial Goods,Defense Equipment/Products
HIW,Highwoods Properties Inc.,Real Estate/Construction,Industrial/Office REITs
HLF,Herbalife Nutrition Ltd.,Health Care/Life Sciences,Pharmaceuticals
HLT,Hilton Worldwide Holdings Inc.,Leisure/Arts/Hospitality,Hotels
HOG,Harley-Davidson Inc.,Automotive,Automobiles
HOLX,Hologic Inc.,Health Care/Life Sciences,Medical Equipment/Supplies
HON,Honeywell International Inc.,Business/Consumer Services,Diversified Holding Companies
HP,Helmerich & Payne Inc.,Companies on the Energy Service,Oil & Gas Products/Services
HPE,Hewlett Packard Enterprise Co.,Technology,Computers/Consumer Electronics
HPP,Hudson Pacific Properties Inc.,Real Estate/Construction,Industrial/Office REITs
HPQ,HP Inc.,Technology,Computers/Consumer Electronics
HRB,H&R Block Inc.,Business/Consumer Services,Accounting
