Ticker,Name,Sector,Industry
VIAC,ViacomCBS Inc. Cl B,Media/Entertainment,Broadcasting
VIACA,ViacomCBS Inc. Cl A,Media/Entertainment,Broadcasting
VICI,VICI Properties Inc.,Real Estate/Construction,Real Estate Developers
VIRT,Virtu Financial Inc.,Financial Services,Securities
VLO,Valero Energy Corp.,Companies on the Energy Service,Oil & Gas Products/Services
VMC,Vulcan Materials Co.,Real Estate/Construction,Building Materials/Products
VMI,Valmont Industries Inc.,Real Estate/Construction,Building Materials/Products
VMW,VMware Inc.,Technology,Software
VNO,Vornado Realty Trust,Real Estate/Construction,Diversified REITs
VOYA,Voya Financial Inc.,Financial Services,Investment Advisors
VRSK,Verisk Analytics Inc.,Business/Consumer Services,Computer Services
VRSN,VeriSign Inc.,Technology,Internet/Online
VRTX,Vertex Pharmaceuticals Inc.,Health Care/Life Sciences,Pharmaceuticals
VSAT,ViaSat Inc.,Telecommunication Services,Wireless Telecommunications Services
VST,Vistra Energy Corp.,Companies on the Energy Service,Electric Utilities
VTR,Ventas Inc.,Real Estate/Construction,Healthcare REITs
VVV,Valvoline Inc.,Basic Materials/Resources,Chemicals
VZ,Verizon Communications Inc.,Telecommunication Services,Wireless Telecommunications Services
W,Wayfair Inc. Cl A,Retail/Wholesale,Home Goods Retail
WAB,Wabtec,Transportation/Logistics,Railroads
WAL,Western Alliance Bancorp.,Financial Services,Banking
WAT,Waters Corp.,Industrial Goods,Precision Products
