Date,TMUBMUSD03M
02/28/17,0.612
02/27/17,0.5
02/24/17,0.518
02/23/17,0.518
02/22/17,0.518
02/21/17,0.53
02/17/17,0.515
02/16/17,0.523
02/15/17,0.535
02/14/17,0.5479999999999999
02/13/17,0.5429999999999999
02/10/17,0.541
02/09/17,0.546
02/08/17,0.551
02/07/17,0.5329999999999999
02/06/17,0.53
02/03/17,0.513
02/02/17,0.513
02/01/17,0.513
01/31/17,0.52
01/30/17,0.525
01/27/17,0.52
01/26/17,0.505
01/25/17,0.505
01/24/17,0.515
01/23/17,0.513
01/20/17,0.505
01/19/17,0.515
01/18/17,0.535
01/17/17,0.525
01/15/17,0.528
01/13/17,0.5329999999999999
01/12/17,0.528
01/11/17,0.513
01/10/17,0.518
01/09/17,0.515
01/06/17,0.52
01/05/17,0.525
01/04/17,0.53
01/03/17,0.528
01/01/17,0.45899999999999996
12/30/16,0.505
12/29/16,0.45899999999999996
12/28/16,0.52
12/27/16,0.541
12/23/16,0.513
12/22/16,0.505
12/21/16,0.513
12/20/16,0.523
12/19/16,0.49700000000000005
12/16/16,0.502
12/15/16,0.513
12/14/16,0.5379999999999999
12/13/16,0.541
12/12/16,0.536
12/09/16,0.535
12/08/16,0.515
12/07/16,0.5
12/06/16,0.5
12/05/16,0.48700000000000004
12/02/16,0.47700000000000004
12/01/16,0.47200000000000003
11/30/16,0.49
11/29/16,0.49200000000000005
11/28/16,0.48700000000000004
11/25/16,0.495
11/23/16,0.513
11/22/16,0.485
11/21/16,0.439
11/18/16,0.434
11/17/16,0.434
11/16/16,0.462
11/15/16,0.49700000000000005
11/14/16,0.525
11/10/16,0.48
11/09/16,0.444
11/08/16,0.429
11/07/16,0.408
11/04/16,0.366
11/03/16,0.374
11/02/16,0.366
11/01/16,0.364
10/31/16,0.35100000000000003
10/28/16,0.297
10/27/16,0.299
10/26/16,0.33
10/25/16,0.34
10/24/16,0.327
10/21/16,0.332
10/20/16,0.332
10/19/16,0.337
10/18/16,0.34299999999999997
10/17/16,0.33
10/14/16,0.309
10/13/16,0.287
10/12/16,0.36
10/11/16,0.341
10/09/16,0.326
10/07/16,0.32799999999999996
10/06/16,0.33299999999999996
10/05/16,0.326
10/04/16,0.33299999999999996
10/03/16,0.317
09/30/16,0.27699999999999997
